name,id,teamcode,teamid,position
Ryan McDonagh,8474151,TBL,14,D
Brock McGinn,8476934,PIT,5,L
Greg McKegg,8475735,NYR,3,C
Ryan McLeod,8480802,EDM,22,C
Michael McLeod,8479415,NJD,1,C
Connor McMichael,8481580,WSH,15,C
Brayden McNabb,8475188,VGK,54,D
Michael McNiven,8478933,MTL,8,G
Jaycob Megna,8477034,SJS,28,D
Timo Meier,8478414,SJS,28,R
Nicolas Meloche,8478467,SJS,28,D
Dawson Mercer,8482110,NJD,1,C
Dakota Mermis,8477541,MIN,30,D
Jon Merrill,8475750,MIN,30,D
Elvis Merzlikins,8478007,CBJ,29,G
Victor Mete,8479376,OTT,9,D
Jacob Middleton,8478136,SJS,28,D
Ilya Mikheyev,8481624,TOR,10,R
Niko Mikkola,8478859,STL,19,D
Sonny Milano,8477947,ANA,24,L
J.T. Miller,8476468,VAN,23,C
Colin Miller,8476525,BUF,7,D
K'Andre Miller,8480817,NYR,3,D
Daniil Miromanov,8482624,VGK,54,D
Casey Mittelstadt,8479999,BUF,7,C
Sean Monahan,8477497,CGY,20,C
Sam Montembeault,8478470,MTL,8,G
Brandon Montour,8477986,FLA,13,D
John Moore,8475186,BOS,6,D
Trevor Moore,8479675,LAK,26,C
Cale Morris,8482528,CHI,16,G
Josh Morrissey,8477504,WPG,52,D
Janis Moser,8482655,ARI,53,D
Tyler Motte,8477353,VAN,23,C
Jacob Moverare,8479421,LAK,26,D
Petr Mrazek,8475852,TOR,10,G
Connor Murphy,8476473,CHI,16,D
Ryan Murray,8476850,COL,21,D
Brett Murray,8479419,BUF,7,L
Matt Murray,8476899,OTT,9,G
Jake Muzzin,8474162,TOR,10,D
Tyler Myers,8474574,VAN,23,D
Philippe Myers,8479026,NSH,18,D
Vladislav Namestnikov,8476480,DET,17,C
Riley Nash,8474062,TBL,14,C
James Neal,8471707,STL,19,L
Martin Necas,8480039,CAR,12,C
Alex Nedeljkovic,8477968,DET,17,G
Brock Nelson,8475754,NYI,2,C
Alex Newhook,8481618,COL,21,C
Valeri Nichushkin,8477501,COL,21,R
Nino Niederreiter,8475799,CAR,12,R
Markus Niemelainen,8479338,EDM,22,D
Matt Nieto,8476442,SJS,28,L
Sami Niku,8478915,MTL,8,D
Nelson Nogier,8478031,WPG,52,D
Tomas Nosek,8477931,BOS,6,L
Thomas Novak,8478438,NSH,18,C
Ryan Nugent-Hopkins,8476454,EDM,22,C
Darnell Nurse,8477498,EDM,22,D
Markus Nutivaara,8478906,FLA,13,D
William Nylander,8477939,TOR,10,R
Gustav Nyquist,8474679,CBJ,29,C
Liam O'Brien,8477070,ARI,53,C
Logan O'Connor,8481186,COL,21,R
Danny O'Regan,8476982,ANA,24,C
Ryan O'Reilly,8475158,STL,19,C
Jordan Oesterle,8477851,DET,17,D
Jake Oettinger,8479979,DAL,25,G
Kyle Okposo,8473449,BUF,7,R
Jamie Oleksiak,8476467,SEA,55,D
Victor Olofsson,8478109,BUF,7,L
Dmitry Orlov,8475200,WSH,15,D
T.J. Oshie,8471698,WSH,15,R
Alex Ovechkin,8471214,WSH,15,L
Max Pacioretty,8474157,VGK,54,L
Jean-Gabriel Pageau,8476419,NYI,2,C
Ondrej Palat,8476292,TBL,14,L
Kyle Palmieri,8475151,NYI,2,R
Cedric Paquette,8476975,MTL,8,C
Colton Parayko,8476892,STL,19,D
Zach Parise,8470610,NYI,2,L
David Pastrnak,8477956,BOS,6,R
Nolan Patrick,8479974,VGK,54,C
Nick Paul,8477426,OTT,9,L
Joe Pavelski,8470794,DAL,25,C
Tanner Pearson,8476871,VAN,23,L
Lane Pederson,8478967,SJS,28,C
Andrew Peeke,8479369,CBJ,29,D
Adam Pelech,8476917,NYI,2,D
Brendan Perlini,8477943,EDM,22,L
Mathieu Perreault,8473618,MTL,8,C
David Perron,8474102,STL,19,L
Corey Perry,8470621,TBL,14,R
Scott Perunovich,8481059,STL,19,D
Brett Pesce,8477488,CAR,12,D
Cal Petersen,8477361,LAK,26,G
Jacob Peterson,8480216,DAL,25,C
Jeff Petry,8473507,MTL,8,D
Elias Pettersson,8480012,VAN,23,C
Marcus Pettersson,8477969,PIT,5,D
Michael Pezzetta,8479543,MTL,8,L
Alex Pietrangelo,8474565,VGK,54,D
Shane Pinto,8481596,OTT,9,C
Neal Pionk,8480145,WPG,52,D
Tyler Pitlick,8475752,CGY,20,C
Rem Pitlick,8479514,MIN,30,C
Vasily Podkolzin,8481617,VAN,23,R
Ryan Poehling,8480068,MTL,8,C
Brayden Point,8478010,TBL,14,C
Tucker Poolman,8477359,VAN,23,D
Carey Price,8471679,MTL,8,G
Cayden Primeau,8480051,MTL,8,G
Aliaksei Protas,8481656,WSH,15,C
Ivan Provorov,8478500,PHI,4,D
Ethan Prow,8479289,BUF,7,D
Jesse Puljujarvi,8479344,EDM,22,R
Ryan Pulock,8477506,NYI,2,D
Mark Pysyk,8475796,BUF,7,D
Jonathan Quick,8471734,LAK,26,G
Antti Raanta,8477293,CAR,12,G
Darren Raddysh,8478178,TBL,14,D
Taylor Raddysh,8479390,TBL,14,R
Alexander Radulov,8471228,DAL,25,R
Michael Raffl,8477290,DAL,25,L
Rickard Rakell,8476483,ANA,24,L
Mikko Rantanen,8478420,COL,21,R
Victor Rask,8476437,MIN,30,C
Michael Rasmussen,8479992,DET,17,C
Lucas Raymond,8482078,DET,17,L
Ryan Reaves,8471817,NYR,3,R
Scott Reedy,8480060,SJS,28,C
Alec Regula,8480831,CHI,16,D
Kristian Reichel,8480443,WPG,52,C
Mike Reilly,8476422,BOS,6,D
James Reimer,8473503,SJS,28,G
Sam Reinhart,8477933,FLA,13,C
Brad Richardson,8470755,CGY,20,R
Morgan Rielly,8476853,TOR,10,D
Juuso Riikola,8480945,PIT,5,D
Rasmus Ristolainen,8477499,PHI,4,D
Nick Ritchie,8477941,TOR,10,L
Brett Ritchie,8476439,CGY,20,R
David Rittich,8479496,NSH,18,G
Jason Robertson,8480027,DAL,25,L
Eric Robinson,8480762,CBJ,29,L
Buddy Robinson,8477210,ANA,24,R
Evan Rodrigues,8478542,PIT,5,C
Alexander Romanov,8481014,MTL,8,D
Jonas Rondbjerg,8480007,VGK,54,R
Kevin Rooney,8479291,NYR,3,C
Jack Roslovic,8478458,CBJ,29,C
Marco Rossi,8482079,MIN,30,C
Antoine Roussel,8474849,ARI,53,L
Carter Rowney,8477240,DET,17,C
Matt Roy,8478911,LAK,26,D
Nicolas Roy,8478462,VGK,54,C
Chad Ruhwedel,8477244,PIT,5,D
Kris Russell,8471729,EDM,22,D
Bryan Rust,8475810,PIT,5,R
Jan Rutta,8480172,TBL,14,D
Adam Ruzicka,8480008,CGY,20,C
Derek Ryan,8478585,EDM,22,C
Brandon Saad,8476438,STL,19,L
Robin Salo,8480071,NYI,2,D
Dylan Samberg,8480049,WPG,52,D
Ilya Samsonov,8478492,WSH,15,G
Rasmus Sandin,8480873,TOR,10,D
Zach Sanford,8477482,OTT,9,L
Travis Sanheim,8477948,PHI,4,D
Juuse Saros,8477424,NSH,18,G
David Savard,8475233,MTL,8,D
Marco Scandella,8474618,STL,19,D
Colton Sceviour,8474098,EDM,22,C
Mark Scheifele,8476460,WPG,52,C
Brayden Schenn,8475170,STL,19,C
Luke Schenn,8474568,VAN,23,D
Nick Schmaltz,8477951,ARI,53,C
Akira Schmid,8481033,NJD,1,G
Nate Schmidt,8477220,WPG,52,D
Corey Schueneman,8481461,MTL,8,D
Justin Schultz,8474602,WSH,15,D
Jaden Schwartz,8475768,SEA,55,C
Nick Seeler,8476372,PHI,4,D
Tyler Seguin,8475794,DAL,25,C
Moritz Seider,8481542,DET,17,D
Andrej Sekera,8471284,DAL,25,D
Mikhail Sergachev,8479410,TBL,14,D
Damon Severson,8476923,NJD,1,D
Kevin Shattenkirk,8474031,ANA,24,D
Riley Sheahan,8475772,SEA,55,C
Conor Sheary,8477839,WSH,15,L
Igor Shesterkin,8478048,NYR,3,G
Devin Shore,8476913,EDM,22,C
Jonas Siegenthaler,8478399,NJD,1,D
Jakob Silfverberg,8475164,ANA,24,R
Cole Sillinger,8482705,CBJ,29,C
Radim Simek,8480160,SJS,28,D
Wayne Simmonds,8474190,TOR,10,R
Dominik Simon,8478866,PIT,5,C
Colton Sissons,8476925,NSH,18,C
Jeff Skinner,8475784,BUF,7,L
Brady Skjei,8476869,CAR,12,D
Jaccob Slavin,8476958,CAR,12,D
Gemel Smith,8476966,TBL,14,C
