name,id,teamcode,teamid,position
Nathan Bastian,8479414,NJD,1,R
Drake Batherson,8480208,OTT,9,R
Jay Beagle,8474291,ARI,53,C
Jake Bean,8479402,CBJ,29,D
Ethan Bear,8478451,CAR,12,D
Nathan Beaulieu,8476470,WPG,52,D
Anthony Beauvillier,8478463,NYI,2,L
Pierre-Edouard Bellemare,8477930,TBL,14,L
Kieffer Bellows,8479356,NYI,2,L
Louie Belpedio,8478011,MTL,8,D
Alex Belzile,8475968,MTL,8,R
Emil Bemstrom,8480205,CBJ,29,C
Jamie Benn,8473994,DAL,25,L
Jordie Benn,8474818,MIN,30,D
Sam Bennett,8477935,FLA,13,C
Matt Benning,8476988,NSH,18,D
Simon Benoit,8481122,ANA,24,D
Tyler Benson,8479347,EDM,22,L
Patrice Bergeron,8470638,BOS,6,C
Jonathan Bernier,8473541,NJD,1,G
Tyler Bertuzzi,8477479,DET,17,L
J-F Berube,8475234,CBJ,29,G
Alex Biega,8473415,TOR,10,D
Jordan Binnington,8476412,STL,19,G
Anders Bjork,8478075,BUF,7,L
Kasper Bjorkqvist,8479512,PIT,5,R
Oliver Bjorkstrand,8477416,CBJ,29,R
Tobias Bjornfot,8481600,LAK,26,D
Nick Bjugstad,8475760,MIN,30,C
Colin Blackwell,8476278,SEA,55,C
Mackenzie Blackwood,8478406,NJD,1,G
Sammy Blais,8478104,NYR,3,L
Anton Blidh,8477320,BOS,6,L
Teddy Blueger,8476927,PIT,5,C
Sergei Bobrovsky,8475683,FLA,13,G
Brock Boeser,8478444,VAN,23,R
Zach Bogosian,8474567,TBL,14,D
Matt Boldy,8481557,MIN,30,L
Nick Bonino,8474009,SJS,28,C
Adam Boqvist,8480871,CBJ,29,D
Jesper Boqvist,8480003,NJD,1,C
Will Borgen,8478840,SEA,55,D
Henrik Borgstrom,8479404,CHI,16,C
Mark Borowiecki,8474697,NSH,18,D
Robert Bortuzzo,8474145,STL,19,D
Evan Bouchard,8480803,EDM,22,D
Madison Bowey,8477474,VAN,23,D
Travis Boyd,8476329,ARI,53,C
Brian Boyle,8470619,PIT,5,C
Tyler Bozak,8475098,STL,19,C
Erik Brannstrom,8480073,OTT,9,D
Derick Brassard,8473544,PHI,4,C
Jesper Bratt,8479407,NJD,1,L
Justin Braun,8474027,PHI,4,D
Guillaume Brisebois,8478465,VAN,23,D
Philip Broberg,8481598,EDM,22,D
TJ Brodie,8474673,TOR,10,D
Jonas Brodin,8476463,MIN,30,D
Adam Brooks,8478996,VGK,54,C
Laurent Brossoit,8476316,VGK,54,G
Josh Brown,8477384,OTT,9,D
Connor Brown,8477015,OTT,9,R
Logan Brown,8479366,STL,19,C
Patrick Brown,8477887,PHI,4,C
Jacob Bryson,8480196,BUF,7,D
Pavel Buchnevich,8477402,STL,19,L
Michael Bunting,8478047,TOR,10,L
Andre Burakovsky,8477444,COL,21,L
Brent Burns,8470613,SJS,28,D
Kyle Burroughs,8477335,VAN,23,D
Will Butcher,8477355,BUF,7,D
Bowen Byram,8481524,COL,21,D
Paul Byron,8474038,MTL,8,L
Drake Caggiula,8479465,BUF,7,C
Jack Campbell,8475789,TOR,10,G
Kyle Capobianco,8478476,ARI,53,D
Brandon Carlo,8478443,BOS,6,D
John Carlson,8474590,WSH,15,D
Lucas Carlsson,8479523,FLA,13,D
Gabriel Carlsson,8478506,CBJ,29,D
Ryan Carpenter,8477846,CHI,16,C
Sam Carrick,8475842,ANA,24,C
William Carrier,8477478,VGK,54,L
Alexandre Carrier,8478851,NSH,18,D
Cole Caufield,8481540,MTL,8,R
Cody Ceci,8476879,EDM,22,D
Erik Cernak,8478416,TBL,14,D
Thomas Chabot,8478469,OTT,9,D
Zdeno Chara,8465009,NYI,2,D
Ben Chiarot,8475279,MTL,8,D
Alex Chiasson,8475163,VAN,23,R
Yegor Chinakhov,8482475,CBJ,29,R
Dennis Cholowski,8479395,WSH,15,D
Jake Christiansen,8481161,CBJ,29,D
Jakob Chychrun,8479345,ARI,53,D
Filip Chytil,8480078,NYR,3,C
Anthony Cirelli,8478519,TBL,14,C
Casey Cizikas,8475231,NYI,2,C
Fredrik Claesson,8476368,TBL,14,D
Kale Clague,8479348,MTL,8,D
Connor Clifton,8477365,BOS,6,D
Cal Clutterbuck,8473504,NYI,2,R
Dylan Coghlan,8479639,VGK,54,D
Andrew Cogliano,8471699,SJS,28,C
Ian Cole,8474013,CAR,12,D
Blake Coleman,8476399,CGY,20,C
Ross Colton,8479525,TBL,14,C
J.T. Compher,8477456,COL,21,L
Eric Comrie,8477480,WPG,52,G
Max Comtois,8480031,ANA,24,L
Kevin Connauton,8475246,PHI,4,D
Brett Connolly,8475792,CHI,16,R
Kyle Connor,8478398,WPG,52,L
Andrew Copp,8477429,WPG,52,C
Nick Cousins,8476393,NSH,18,C
Sean Couturier,8476461,PHI,4,C
Charlie Coyle,8475745,BOS,6,C
Dylan Cozens,8481528,BUF,7,C
Sidney Crosby,8471675,PIT,5,C
Lawson Crouse,8478474,ARI,53,L
Kirby Dach,8481523,CHI,16,C
Evgenii Dadonov,8474149,VGK,54,R
Jonathan Dahlen,8479373,SJS,28,C
Rasmus Dahlin,8480839,BUF,7,D
Riley Damiani,8480988,DAL,25,C
Phillip Danault,8476479,LAK,26,C
Justin Danforth,8479941,CBJ,29,R
Laurent Dauphin,8477460,MTL,8,C
Tony DeAngelo,8477950,CAR,12,D
Alex DeBrincat,8479337,CHI,16,L
Jake DeBrusk,8478498,BOS,6,L
Danny DeKeyser,8477215,DET,17,D
Dylan DeMelo,8476331,WPG,52,D
Casey DeSmith,8479193,PIT,5,G
Thatcher Demko,8477967,VAN,23,G
Travis Dermott,8478408,TOR,10,D
Nicolas Deslauriers,8475235,ANA,24,L
Connor Dewar,8480980,MIN,30,C
Jason Dickinson,8477450,VAN,23,C
Brenden Dillon,8475455,WPG,52,D
Cam Dineen,8479341,ARI,53,D
Noah Dobson,8480865,NYI,2,D
Max Domi,8477503,CBJ,29,C
Louis Domingue,8475839,PIT,5,G
Ryan Donato,8477987,SEA,55,C
Joonas Donskoi,8475820,SEA,55,R
Drew Doughty,8474563,LAK,26,D
Nic Dowd,8475343,WSH,15,C
Leon Draisaitl,8477934,EDM,22,C
Chris Driedger,8476904,SEA,55,G
Jonathan Drouin,8477494,MTL,8,L
Jamie Drysdale,8482142,ANA,24,D
Dillon Dube,8479346,CGY,20,C
Pierre-Luc Dubois,8479400,WPG,52,L
Matt Duchene,8475168,NSH,18,C
Anthony Duclair,8477407,FLA,13,L
Brandon Duhaime,8479520,MIN,30,R
Matt Dumba,8476856,MIN,30,D
Brian Dumoulin,8475208,PIT,5,D
Vince Dunn,8478407,SEA,55,D
Sean Durzi,8480434,LAK,26,D
Christian Dvorak,8477989,MTL,8,L
